
02/03/2021 20:35:20
Dept	Year	Times Accessed	Duration
ECE	2	3		0.021587848663330078
ECE	3	4		0.004033327102661133
ECE	4	3		0.009470701217651367
EE	1	3		0.01264500617980957
EE	2	2		0.028201580047607422
EE	3	3		0.005002021789550781
EE	4	2		0.014033079147338867
FT	1	3		0.0044744014739990234
FT	2	2		0.017022132873535156
FT	3	3		0.002496957778930664
FT	4	2		0.027538299560546875
IT	1	4		0.025873661041259766
IT	2	4		0.003494739532470703
IT	3	4		0.0030188560485839844
IT	4	3		0.04407787322998047
ME	1	3		0.031562089920043945
ME	2	2		0.02144765853881836
ME	3	3		0.057121992111206055
ME	4	2		0.022999048233032227
